Province,Year,Grade_1_Dropout,Grade_2_Dropout,Grade_3_Dropout,Grade_4_Dropout,Grade_5_Dropout,Grade_6_Dropout,Grade_7_Dropout,Grade_8_Dropout,Grade_9_Dropout,Grade_10_Dropout,Grade_11_Dropout,Grade_12_Dropout
Banteay Meanchey,2018,3.3,3.7,2.0,6.4,3.4,6.4,17.3,14.0,18.4,13.8,9.6,39.7
Battambang,2018,4.5,3.6,5.7,5.2,6.3,8.6,19.9,16.5,17.0,16.4,11.3,29.3
Kampong Cham,2018,4.2,4.7,4.6,4.6,4.4,4.9,16.6,15.2,17.2,18.1,9.5,38.1
Kampong Chhnang,2018,1.4,2.0,2.2,3.0,2.7,4.0,14.1,15.1,15.7,17.3,10.2,34.6
Kampong Speu,2018,2.0,1.2,2.8,3.5,4.9,3.5,19.2,18.6,22.7,20.3,10.4,13.7
Kampong Thom,2018,4.6,3.7,5.9,6.1,6.4,5.3,17.6,13.0,12.9,12.8,6.0,23.9
Kampot,2018,2.2,2.3,4.4,3.0,5.7,5.7,17.3,17.2,17.1,17.8,9.0,20.5
Kandal,2018,1.0,1.7,3.3,2.9,4.4,3.5,15.4,13.7,15.5,12.9,6.4,27.4
Kep,2018,,,0.9,6.5,7.8,10.8,22.2,20.6,17.9,9.5,8.5,4.7
Koh Kong,2018,7.7,8.6,6.4,8.1,0.0,6.7,14.5,11.8,20.2,14.4,4.4,70.5
Kratie,2018,5.4,5.9,7.9,8.6,9.7,12.3,22.3,19.3,21.2,13.7,8.5,45.6
Mondul Kiri,2018,7.1,4.7,7.5,10.2,11.6,8.6,17.6,12.3,12.3,12.7,4.3,6.4
Otdar Meanchey,2018,5.8,4.7,6.1,9.3,6.5,14.9,17.5,14.2,19.7,13.4,5.5,11.3
Pailin,2018,4.1,6.0,7.2,5.1,7.4,6.4,17.5,11.3,17.7,9.8,5.8,36.7
Phnom Penh,2018,3.6,2.8,3.3,1.9,3.2,5.0,11.7,4.9,10.1,8.0,,44.1
Preah Sihanouk,2018,1.9,2.3,0.4,6.5,2.7,11.2,23.2,16.5,22.6,12.7,7.5,20.0
Preah Vihear,2018,4.0,4.6,3.7,7.6,9.3,9.2,16.4,10.6,13.4,22.6,14.6,13.3
Prey Veng,2018,1.8,1.0,2.4,2.9,3.3,2.9,16.1,16.7,19.2,17.0,9.7,17.7
Pursat,2018,4.2,4.3,3.5,5.1,4.4,6.6,17.5,16.2,14.6,19.4,11.0,37.2
Ratanak Kiri,2018,11.7,10.2,9.8,13.8,14.1,14.4,19.5,1.0,17.3,8.5,7.6,14.0
Siemreap,2018,3.4,5.7,4.5,1.5,5.0,8.7,15.4,10.9,13.6,4.2,6.1,24.0
Stung Treng,2018,4.6,6.7,10.0,7.2,13.7,22.6,18.4,11.7,12.3,5.0,4.9,5.3
Svay Rieng,2018,1.6,1.0,2.2,2.8,2.6,2.1,20.5,14.7,17.7,16.1,9.2,21.9
Takeo,2018,1.1,1.4,2.3,2.3,2.6,4.5,11.5,12.2,16.2,14.6,9.9,41.8
Tbaung Khmum,2018,5.2,5.3,6.2,6.3,7.3,7.9,21.6,17.1,23.6,17.1,9.0,25.9
Banteay Meanchey,2019,3.1,2.1,2.3,4.8,1.2,7.0,15.1,12.4,17.2,12.2,7.4,44.8
Battambang,2019,6.1,5.2,5.1,4.1,5.9,22.0,16.9,15.4,22.8,14.7,8.1,35.1
Kampong Cham,2019,3.9,4.3,2.5,3.8,5.3,27.8,13.1,15.1,37.2,14.2,7.0,27.4
Kampong Chhnang,2019,0.9,1.2,1.9,4.0,3.5,10.4,10.9,13.6,19.1,16.7,12.0,28.8
Kampong Speu,2019,2.6,1.0,3.2,3.6,2.4,25.6,16.1,21.6,39.1,16.0,9.8,23.7
Kampong Thom,2019,2.7,1.6,2.2,4.6,4.7,29.1,16.0,15.1,30.4,19.3,8.6,30.8
Kampot,2019,1.1,2.5,3.3,3.1,3.9,21.6,14.9,17.3,23.1,14.6,8.9,16.1
Kandal,2019,1.0,2.1,1.1,2.9,2.5,2.6,12.3,12.2,10.9,13.4,11.2,17.0
Kep,2019,,,,,4.1,14.1,23.2,14.3,20.0,8.2,7.6,7.8
Koh Kong,2019,7.6,7.2,5.7,5.3,,16.6,14.9,9.8,22.0,1.9,8.5,64.1
Kratie,2019,10.0,8.3,9.3,8.6,9.1,14.4,20.0,20.9,22.7,13.7,8.6,18.8
Mondul Kiri,2019,5.9,5.5,8.7,6.3,12.1,8.2,15.5,14.8,12.3,11.3,4.9,5.5
Otdar Meanchey,2019,8.1,3.9,6.3,5.8,6.9,32.8,15.8,16.3,27.9,13.3,9.8,13.4
Pailin,2019,4.9,0.2,3.3,3.6,5.1,6.4,18.1,13.5,14.0,18.2,10.5,38.0
Phnom Penh,2019,0.3,,,0.5,1.0,16.3,7.1,1.6,33.4,,,44.0
Preah Sihanouk,2019,5.9,1.7,2.9,6.0,0.9,75.5,21.2,14.2,83.4,11.8,23.0,7.8
Preah Vihear,2019,1.5,3.0,5.5,5.8,6.3,13.7,15.9,10.4,30.5,15.5,2.7,8.4
Prey Veng,2019,2.1,1.7,1.0,1.7,1.9,23.9,11.6,16.1,41.7,18.7,8.5,16.1
Pursat,2019,2.2,2.2,5.1,5.4,5.2,12.0,16.6,15.5,12.7,11.5,0.7,17.3
Ratanak Kiri,2019,12.0,6.5,7.6,15.0,12.0,42.4,20.1,2.3,28.2,11.9,6.8,7.6
Siemreap,2019,2.4,2.2,2.7,3.0,2.2,14.2,13.1,12.3,15.5,13.1,5.2,19.6
Stung Treng,2019,7.2,11.5,11.3,6.5,11.0,35.6,18.1,16.2,18.1,14.9,,14.2
Svay Rieng,2019,2.1,,1.0,0.2,1.6,5.0,13.2,16.9,17.4,18.3,11.9,19.8
Takeo,2019,0.7,1.5,2.1,2.5,3.6,9.6,11.6,11.9,17.0,13.2,9.0,29.2
Tbaung Khmum,2019,5.5,5.3,6.1,5.6,7.1,48.8,18.5,16.9,41.0,8.9,8.5,22.6
Banteay Meanchey,2020,5.2,5.3,4.5,6.5,6.1,5.9,10.2,13.3,13.3,12.2,6.7,24.7
Battambang,2020,3.1,6.3,6.3,6.1,8.4,22.8,13.7,13.4,25.8,15.5,7.6,38.7
Kampong Cham,2020,4.2,5.3,4.7,5.9,5.8,35.2,11.2,13.1,36.1,13.4,9.0,41.3
Kampong Chhnang,2020,1.5,2.9,2.4,3.8,4.4,10.1,12.4,15.1,30.9,16.6,14.8,47.3
Kampong Speu,2020,2.9,3.2,3.9,4.3,5.9,30.9,18.5,19.9,53.2,21.8,13.0,62.9
Kampong Thom,2020,3.7,5.1,5.3,7.4,8.4,30.4,14.8,15.7,25.5,13.9,8.3,39.2
Kampot,2020,4.5,3.9,4.4,5.6,5.2,16.2,11.3,14.4,24.0,14.3,9.4,36.9
Kandal,2020,2.7,3.0,3.4,3.7,5.0,3.9,9.8,10.1,14.7,11.7,10.4,34.6
Kep,2020,4.7,2.4,6.0,9.0,8.7,15.2,10.3,9.4,11.3,8.2,5.9,15.0
Koh Kong,2020,5.0,8.8,5.9,10.7,6.5,31.8,10.6,9.9,27.3,12.9,9.6,36.7
Kratie,2020,4.4,7.0,8.3,7.9,10.8,30.1,18.1,17.4,27.0,14.1,7.8,29.7
Mondul Kiri,2020,6.5,6.2,5.8,5.7,11.2,15.4,13.5,12.7,12.2,8.2,8.6,14.4
Otdar Meanchey,2020,6.4,6.3,6.7,7.3,8.6,35.8,13.8,14.3,24.5,16.5,11.5,7.6
Pailin,2020,8.1,6.9,6.8,11.0,9.1,33.1,15.2,15.5,23.3,13.2,10.9,24.4
Phnom Penh,2020,8.9,4.7,5.1,5.3,5.1,32.8,5.5,2.8,32.7,4.0,,43.6
Preah Sihanouk,2020,6.8,5.9,7.5,5.5,7.9,20.4,11.0,10.3,20.2,10.9,10.6,21.2
Preah Vihear,2020,6.6,5.0,6.8,8.7,8.3,18.6,13.9,12.1,17.9,19.4,12.3,39.5
Prey Veng,2020,2.8,2.4,3.0,3.6,4.2,22.4,11.1,13.7,35.0,15.6,9.6,40.1
Pursat,2020,3.6,6.1,4.2,6.4,6.5,20.6,12.2,13.4,19.5,12.5,8.2,30.2
Ratanak Kiri,2020,9.8,7.7,8.4,10.6,12.5,30.8,15.4,10.0,38.0,17.4,11.2,19.1
Siemreap,2020,5.2,5.6,4.9,6.3,7.2,29.0,11.6,11.2,29.1,11.3,7.3,35.2
Stung Treng,2020,5.6,6.4,7.6,8.8,8.9,49.0,19.8,12.9,33.3,11.8,5.2,13.6
Svay Rieng,2020,2.5,3.2,2.8,3.2,4.3,23.1,13.7,18.7,39.4,18.2,12.6,48.2
Takeo,2020,2.1,2.6,2.7,3.0,3.4,10.3,6.9,9.3,20.9,10.4,10.4,32.5
Tbaung Khmum,2020,4.9,6.5,5.8,7.4,7.7,37.5,13.5,15.3,41.2,15.3,8.0,43.8
